date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:14	18669/18669	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Mar%202018%2006:59:29%20GMT	https://colorlib.com/preview/theme/industry/index.html	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/index.html	(from )
23:14:15	84/84	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
23:14:16	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202020%2022:14:17%20GMT	https://colorlib.com/preview/theme/industry/img/fav.png	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/img/fav.png	(from https://colorlib.com/preview/theme/industry/index.html)
23:14:16	8362/8362	---MCZ	200	added ('OK')	text/css	etag:W/%225aae0fa2-20aa%22	https://colorlib.com/preview/theme/industry/css/linearicons.css	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/css/linearicons.css	(from https://colorlib.com/preview/theme/industry/index.html)
23:14:17	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%225aae0f9c-791c%22	https://colorlib.com/preview/theme/industry/css/font-awesome.min.css	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/css/font-awesome.min.css	(from https://colorlib.com/preview/theme/industry/index.html)
23:14:17	149340/149340	---MCZ	200	added ('OK')	text/css	etag:W/%225aae0f9b-2475c%22	https://colorlib.com/preview/theme/industry/css/bootstrap.css	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/css/bootstrap.css	(from https://colorlib.com/preview/theme/industry/index.html)
23:14:18	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225aae0fa2-1b27%22	https://colorlib.com/preview/theme/industry/css/magnific-popup.css	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/css/magnific-popup.css	(from https://colorlib.com/preview/theme/industry/index.html)
23:14:18	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%225aae0fa9-fa7%22	https://colorlib.com/preview/theme/industry/css/nice-select.css	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/css/nice-select.css	(from https://colorlib.com/preview/theme/industry/index.html)
23:14:18	9957/9957	---MCZ	200	added ('OK')	text/css	etag:W/%225aae0f9f-26e5%22	https://colorlib.com/preview/theme/industry/css/hexagons.min.css	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/css/hexagons.min.css	(from https://colorlib.com/preview/theme/industry/index.html)
23:14:19	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%225aae0f9a-ce35%22	https://colorlib.com/preview/theme/industry/css/animate.min.css	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/css/animate.min.css	(from https://colorlib.com/preview/theme/industry/index.html)
